wavelength, A
4.942285767e+02,4.354124889e-03
4.943851013e+02,-6.470659282e-03
4.945416565e+02,-7.068131235e-04
4.946981812e+02,-8.005342097e-04
4.948547363e+02,4.260404035e-03
4.950112915e+02,-1.737745013e-03
4.951678467e+02,4.354124889e-03
4.953244019e+02,-7.068131235e-04
4.954809875e+02,5.150754470e-03
4.956375427e+02,-4.174493253e-03
4.957941284e+02,1.120747882e-03
4.959507141e+02,-6.048914511e-03
4.961072998e+02,3.135751002e-03
4.962639160e+02,-2.674955875e-03
4.964205017e+02,3.135751002e-03
4.965771179e+02,-5.627169739e-03
4.967337341e+02,2.245400799e-03
4.968903503e+02,-1.597163384e-03
4.970469666e+02,3.698077518e-03
4.972036133e+02,-2.393792616e-03
4.973602600e+02,1.214468968e-03
4.975169067e+02,-3.143561073e-03
4.976735535e+02,1.448771683e-03
4.978302002e+02,-3.659027163e-03
4.979868774e+02,1.870516571e-03
4.981435242e+02,-1.737745013e-03
4.983002014e+02,3.241187369e-04
4.984568787e+02,-4.736819305e-03
4.986135559e+02,4.260404035e-03
4.987702637e+02,-9.879763238e-04
4.989269409e+02,-5.076558227e-05
4.990836487e+02,-6.517520174e-03
4.992403564e+02,2.104819287e-03
4.993970642e+02,-3.659027163e-03
4.995538025e+02,-8.942552959e-04
4.997105103e+02,-3.143561073e-03
4.998672485e+02,2.292261459e-03
5.000239868e+02,-2.628095215e-03
5.001807251e+02,2.573424717e-03
5.003374634e+02,-1.925187185e-03
5.004942322e+02,1.073887339e-03
5.006510010e+02,-3.705887590e-03
5.008077393e+02,1.308190054e-03
5.009645386e+02,-1.972047612e-03
5.011213074e+02,9.333057096e-04
5.012780762e+02,-3.424724331e-03
5.014348755e+02,2.245400799e-03
5.015916748e+02,-4.174493253e-03
5.017484741e+02,9.333057096e-04
5.019052734e+02,-3.190421732e-03
5.020620728e+02,1.729934942e-03
5.022189026e+02,-3.237282159e-03
5.023757324e+02,4.647003370e-04
5.025325623e+02,-5.299145821e-03
5.026893921e+02,1.448771683e-03
5.028462219e+02,-3.237282159e-03
5.030030823e+02,1.495632227e-03
5.031599121e+02,-5.252285395e-03
5.033167725e+02,8.864452248e-04
5.034736328e+02,-4.455656279e-03
5.036304932e+02,3.463774920e-03
5.037873840e+02,-3.518445417e-03
5.039442749e+02,5.947383586e-03
