INDEX,A
1,-19.427
2,-20.129
3,-20.387
4,-20.662
5,-20.955
6,-20.408
7,-21.608
8,-21.975
9,-21.461
10,-21.592
11,-23.170
12,-23.144
13,-23.119
14,-23.093
15,-22.738
16,-23.043
17,-21.341
18,-22.993
19,-22.969
20,-22.917
21,-22.738
22,-22.565
23,-22.400
24,-22.240
25,-20.333
26,-21.937
27,-21.794
28,-18.296
29,-21.525
30,-21.466
31,-21.408
32,-21.350
33,-21.293
34,-21.237
35,-21.181
36,-21.127
37,-21.072
38,-21.019
39,-20.941
40,-20.864
41,-20.788
42,-20.002
43,-20.641
44,-20.569
45,-19.152
46,-20.428
47,-17.059
48,-19.364
49,-20.120
50,-20.336
51,-19.707
52,-20.326
53,-20.320
54,-17.431
55,-20.309
56,-20.304
57,-20.290
58,-20.274
59,-20.258
60,-20.242
61,-20.227
62,-20.211
63,-20.195
64,-20.180
65,-20.164
66,-20.130
67,-20.088
68,-20.047
69,-19.223
70,-19.401
71,-19.925
72,-19.886
73,-19.846
74,-16.277
75,-19.878
76,-20.023
77,-20.172
78,-19.924
79,-20.488
80,-20.655
81,-20.829
82,-18.587
83,-21.199
84,-21.362
85,-21.497
86,-20.857
87,-21.782
88,-19.830
89,-22.086
90,-22.247
91,-22.413
92,-22.587
93,-22.667
94,-22.615
95,-22.563
96,-22.511
97,-22.461
98,-22.411
99,-22.361
100,-22.312
101,-22.263
102,-22.323
103,-20.806
104,-22.924
105,-23.258
106,-21.413
107,-24.016
108,-24.451
109,-24.935
110,-22.330
111,-24.781
112,-24.149
113,-26.445
114,-26.688
115,-24.843
116,-26.583
117,-26.508
118,-27.823
119,-25.086
120,-24.539
121,-27.131
122,-25.681
123,-27.939
124,-26.054
125,-27.292
126,-28.535
127,-26.023
128,-25.690
129,-26.306
130,-29.128
131,-25.377
132,-27.285
133,-26.991
134,-24.960
135,-26.072
136,-29.102
137,-24.433
138,-25.797
139,-25.071
140,-24.686
141,-26.119
142,-25.050
143,-28.574
144,-23.485
145,-25.499
146,-28.597
147,-25.278
148,-24.610
149,-26.766
150,-25.841
151,-26.877
152,-24.886
153,-24.239
154,-28.817
155,-24.945
156,-24.088
157,-28.805
158,-24.199
159,-24.652
160,-24.746
161,-24.355
162,-26.887
163,-25.306
164,-24.956
165,-24.579
166,-25.001
167,-26.402
168,-26.660
169,-24.334
170,-24.459
171,-24.889
172,-23.468
173,-23.918
174,-23.060
175,-25.580
176,-25.129
177,-26.194
178,-24.664
179,-24.006
180,-25.379
181,-26.803
182,-24.209
183,-25.101
184,-25.392
185,-25.013
186,-26.261
187,-25.255
188,-24.770
189,-26.558
190,-24.678
191,-24.970
192,-25.151
193,-25.128
194,-24.694
195,-25.317
196,-26.247
197,-25.546
198,-26.301
199,-25.841
200,-25.326
201,-25.125
202,-27.100
203,-26.302
204,-25.427
205,-24.839
206,-26.199
207,-26.565
208,-27.783
209,-27.235
210,-25.108
211,-24.495
212,-25.742
213,-25.152
214,-26.348
215,-26.111
216,-25.036
217,-25.967
218,-26.302
219,-26.116
220,-26.441
221,-26.149
222,-25.100
223,-26.526
224,-26.263
225,-26.297
226,-26.175
227,-26.297
228,-26.464
229,-26.190
230,-26.238
231,-26.541
232,-26.354
233,-26.415
234,-26.161
235,-25.835
236,-26.484
237,-26.656
238,-28.286
239,-26.993
240,-27.405
241,-26.451
242,-26.737
243,-27.575
244,-27.068
245,-28.532
246,-27.449
247,-27.728
248,-26.817
249,-26.438
250,-26.568
251,-27.364
252,-26.897
253,-26.929
254,-26.653
255,-26.843
256,-26.583
257,-27.012
258,-27.433
259,-26.853
260,-27.257
261,-27.100
262,-27.991
263,-27.210
264,-27.056
265,-27.443
266,-28.426
267,-27.735
268,-27.412
269,-28.422
270,-27.688
271,-27.959
272,-28.887
273,-27.580
274,-28.235
275,-28.208
276,-28.482
277,-27.726
278,-28.498
279,-28.342
280,-28.686
281,-29.129
282,-27.557
283,-28.766
284,-28.511
285,-29.221
286,-30.196
287,-31.426
288,-27.701
289,-28.653
290,-30.672
291,-29.384
292,-29.639
293,-28.681
294,-29.833
295,-29.488
296,-30.317
297,-29.950
298,-29.637
299,-28.984
300,-29.566
301,-29.602
302,-31.182
303,-29.982
304,-30.008
305,-29.779
306,-29.724
307,-30.169
308,-30.006
309,-30.341
310,-30.079
311,-30.728
312,-30.615
313,-30.521
314,-30.883
315,-30.274
316,-30.949
317,-29.628
318,-30.243
319,-28.902
320,-30.607
321,-29.579
322,-30.037
323,-30.847
324,-30.560
325,-30.624
326,-30.301
327,-28.823
328,-30.304
329,-29.700
330,-29.604
331,-31.220
332,-29.202
333,-30.235
334,-30.057
335,-30.456
336,-30.269
337,-30.050
338,-29.050
339,-29.171
340,-29.099
341,-30.418
342,-29.140
343,-29.877
344,-30.380
345,-29.511
346,-29.267
347,-29.639
348,-29.019
349,-28.859
350,-29.222
351,-29.302
352,-29.429
353,-29.765
354,-29.717
355,-28.840
356,-28.463
357,-29.366
358,-29.097
359,-29.501
360,-28.664
361,-28.671
362,-29.555
363,-28.995
364,-29.743
365,-28.484
366,-29.086
367,-28.986
368,-28.737
369,-29.757
370,-29.341
371,-29.696
372,-29.810
373,-29.261
374,-29.172
375,-29.441
376,-29.681
377,-29.946
378,-30.116
379,-29.872
380,-29.432
381,-30.511
382,-29.742
383,-29.544
384,-30.043
385,-29.915
386,-29.752
387,-30.618
388,-30.819
389,-30.329
390,-30.724
391,-30.157
392,-29.693
393,-30.271
394,-30.059
395,-30.352
396,-30.531
397,-29.787
398,-29.941
399,-30.061
400,-30.687
401,-30.392
402,-30.140
403,-30.414
404,-29.626
405,-29.662
406,-29.656
407,-29.059
408,-28.616
409,-28.121
410,-27.491
411,-26.963
412,-26.377
413,-25.971
414,-25.403
415,-24.959
416,-24.599
417,-24.088
418,-23.774
419,-23.574
420,-23.254
421,-23.029
422,-22.857
423,-22.615
424,-22.494
425,-22.369
426,-22.283
427,-22.164
428,-22.153
429,-22.145
430,-22.265
431,-22.475
432,-22.798
433,-23.111
434,-23.533
435,-23.947
436,-24.348
437,-24.892
438,-25.427
439,-26.020
440,-26.536
441,-26.914
442,-27.037
443,-27.135
444,-27.179
445,-27.274
446,-27.358
447,-27.396
448,-27.205
449,-27.214
450,-27.429
451,-27.273
452,-27.232
453,-27.210
454,-27.172
455,-27.262
456,-27.200
457,-27.232
458,-27.414
459,-27.262
460,-27.447
461,-27.368
462,-27.609
463,-27.598
464,-27.673
465,-27.618
466,-27.678
467,-27.679
468,-27.771
469,-27.690
470,-27.773
471,-27.713
472,-27.684
473,-27.625
474,-27.679
475,-27.800
476,-27.671
477,-27.560
478,-27.778
479,-27.805
480,-27.862
481,-27.758
482,-27.737
483,-27.885
484,-27.805
485,-27.838
486,-27.986
487,-27.861
488,-27.985
489,-28.075
490,-27.995
491,-28.056
492,-28.001
493,-28.109
494,-27.967
495,-27.977
496,-27.975
497,-28.068
498,-28.062
499,-28.026
500,-28.071
501,-28.034
502,-28.078
503,-28.134
504,-28.136
505,-28.174
506,-28.165
507,-28.124
508,-28.187
509,-28.153
510,-28.163
511,-28.126
512,-28.151
513,-28.099
514,-28.123
515,-28.256
516,-28.146
517,-28.244
518,-28.289
519,-28.254
520,-28.396
521,-28.412
522,-28.384
523,-28.338
524,-28.322
525,-28.434
526,-28.364
527,-28.316
528,-28.275
529,-28.342
530,-28.338
531,-28.235
532,-28.242
533,-28.399
534,-28.286
535,-28.310
536,-28.401
537,-28.497
538,-28.489
539,-28.505
540,-28.515
541,-28.601
542,-28.636
543,-28.596
544,-28.632
545,-28.587
546,-28.481
547,-28.463
548,-28.564
549,-28.462
550,-28.460
551,-28.520
552,-28.474
553,-28.535
554,-28.480
555,-28.550
556,-28.531
557,-28.518
558,-28.666
559,-28.667
560,-28.765
561,-28.820
562,-28.698
563,-28.716
564,-28.854
